x,y,z,remissions
0.5397458,0.58450747,0.02583654,30.0
0.5620607,-0.14316301,0.029990999,20.0
0.06626626,-0.07305588,0.0045306133,22.0
0.06030203,-0.080198094,0.0046090335,18.0
-0.018650757,-0.019192394,-0.002477917,4.0
-0.0012872176,0.023095898,0.0019546149,4.0
-0.06321235,-0.08349081,-0.008480879,32.0
-0.068718076,-0.055706397,-0.011881848,43.0
-0.0034410614,0.026208144,-0.0017325197,29.0
0.086233735,-0.026232695,-0.008520335,23.0
-0.037921138,-0.08589751,-0.009968261,19.0
0.08472472,-0.07305504,-0.0053931517,29.0
0.018424941,-0.013894275,-0.00084618235,19.0
-0.05829003,-0.043368973,-0.011824618,13.0
-0.027947303,0.21666248,0.016771046,14.0
0.046542343,-0.0034750297,-0.00970099,41.0
-0.7206488,0.20623444,-0.020283286,23.0
0.020334728,-0.07795466,-0.0073034675,35.0
0.18833067,0.22732934,-0.006286789,25.0
0.23256077,0.17909591,-0.005687268,19.0
0.04637641,0.11950367,0.010088556,43.0
0.705353,0.23204471,0.0084244935,34.0
-0.005291021,0.023729019,0.00022914505,9.0
0.109885275,0.0024936458,-0.0065685436,41.0
-0.5722765,0.13517497,-0.038541246,21.0
-0.22812623,-0.28131065,0.010369624,8.0
-0.002114862,0.021453362,-0.0011222315,21.0
-0.121025614,-0.14220463,-0.012599295,11.0
0.012344021,-0.08104692,-0.0074320496,25.0
-0.13021235,-0.07340083,-0.013550724,37.0
-0.19145508,-0.1769173,0.007463521,20.0
-0.008914639,-0.018005744,-0.0006208712,2.0
0.15027641,0.0062459,-0.002914183,16.0
-0.15258275,-0.49261084,0.033620123,32.0
-0.008561519,0.016467571,-0.00075195,16.0
-0.10651018,-0.05452747,-0.0134005295,47.0
-0.015306236,-0.095774084,-0.009920224,20.0
0.018457193,-0.01386813,0.001460581,9.0
0.07254976,-0.0690158,-0.006177021,25.0
-0.010318815,0.022663536,-0.00019558499,33.0
0.048894748,-0.009654819,-0.0029784194,47.0
0.07937709,-0.005216563,-0.0006247854,5.0
0.02596941,-0.078616284,-0.009111374,12.0
-0.014738882,-0.018743237,-0.00018727581,1.0
0.06267151,0.027746022,-0.009205926,44.0
-0.18982153,-0.06380825,0.0007339528,19.0
-0.005197034,0.023269271,-0.0024386528,29.0
-0.2639232,-0.08549929,0.0036802813,15.0
0.06788977,0.03072476,-0.008951771,32.0
-0.49034807,0.4099946,0.014616504,59.0
0.03818663,0.11333838,-0.00783892,17.0
-0.15783809,-0.038827177,-0.0056477343,4.0
0.659554,0.5901238,0.06452561,30.0
0.14914243,-0.12081626,-0.00077044155,5.0
-0.22824052,-0.43621293,-0.0048120543,42.0
-0.0047453055,0.021582888,-0.0020889181,21.0
-0.72448754,0.21474053,-0.026255535,42.0
0.1087382,-0.061998017,-0.006275184,8.0
-0.03027045,-0.14156061,-0.0022487515,25.0
-0.07877395,-0.027124047,-0.0073915003,3.0
