x,y,z,remissions
-0.09261083,0.018455049,0.005974244,11.0
-0.103784494,0.0031165117,0.010418612,24.0
0.010360888,0.013774356,-0.008037289,5.0
-0.015345044,-0.119126886,0.012052161,39.0
-0.027895493,0.024524048,6.481425e-05,27.0
0.084073685,-0.05430648,-0.0063671493,20.0
-0.013264932,-0.084901966,0.00097494,8.0
-0.007556414,-0.07177397,-0.003479224,42.0
0.061236154,-0.061579112,-0.0053572296,44.0
-0.013716922,0.01728165,-0.0012335659,17.0
-0.002796512,0.020050544,0.0013588502,36.0
0.071440116,-0.059754398,-0.0052071433,12.0
0.009518442,-0.06323632,-0.0067889933,59.0
-0.023715636,0.028494714,0.0004917973,16.0
0.008596047,0.018527063,-3.5742185e-06,36.0
0.026675692,0.020476377,-0.0031137029,23.0
-0.016196653,-0.028361242,-0.0116182165,19.0
-0.08963197,-0.01175253,-0.0108594615,35.0
0.08246612,-0.0023899155,-0.010349127,21.0
-0.045762315,-0.010682907,-0.001903869,8.0
-0.0041586915,0.018604916,-0.0015807569,37.0
-0.22739562,-0.14954151,0.023715138,9.0
-0.026092602,-0.0718058,-0.0038301353,66.0
0.0886856,0.012337699,0.0051471163,39.0
0.00040027124,0.016147293,0.0021494331,4.0
-0.06527904,-0.041988887,-0.0126323905,12.0
0.014176676,0.021631258,-0.001645284,30.0
0.06110315,-0.08598048,0.0026147761,43.0
0.01638049,-0.1029571,0.0069975555,32.0
-0.008720733,-0.06903171,-0.0052317632,34.0
-0.09631114,-0.094248995,0.00023514642,47.0
0.0051693334,-0.009264614,-0.00090019853,13.0
0.031516235,-0.0037190372,-0.011289046,22.0
-0.13870402,-0.09536427,-0.0006756583,44.0
-0.003824815,0.018534485,-0.00036668027,27.0
0.07145172,-0.08008302,0.0036916079,38.0
0.022524135,0.023089401,-0.0029241825,28.0
0.02204026,-0.008904843,-0.00023234697,4.0
-0.010491862,0.01812857,-0.00076804735,36.0
-0.0020935251,-0.090855256,0.0038248238,17.0
-0.071852446,0.03349008,0.006392182,4.0
0.035714135,0.016737325,-0.002661206,19.0
0.0019404847,0.016694557,0.00019068307,38.0
0.06079228,-0.07075245,-0.0019865627,24.0
-0.012628414,0.016607208,-0.0026171484,15.0
-0.009260323,0.023986222,0.0011315824,32.0
0.059277255,0.0076672123,-0.010911835,47.0
-0.0006635796,-0.09273088,0.004795052,29.0
-0.13120021,-0.10056435,0.0012406586,49.0
0.00892508,0.018234463,-0.0022341453,18.0
-0.024674494,-0.09758426,0.0040427833,38.0
0.03470426,-0.0789836,-0.00034629618,29.0
0.010796025,-0.072237894,-0.003521142,34.0
-0.013971252,0.015791627,-0.0024582413,19.0
-0.0318461,0.01721912,-0.0031418914,39.0
0.0017850855,0.019206192,-0.0012642688,44.0
-0.06501983,0.012626799,-0.0061327387,101.0
0.11285133,-0.051500693,-0.0069353813,26.0
-0.037405606,0.02832044,0.0015236094,48.0
0.04186986,0.02384342,-0.0009335645,24.0
-0.010368364,-0.06912872,-0.0051209917,14.0
0.06723752,-0.08410649,0.0030829406,44.0
-0.036730736,-0.065910876,-0.0077176015,36.0
-0.0116215795,-0.06420418,-0.0074339886,40.0
0.008637028,0.015880978,0.00030923137,16.0
-0.007825969,0.025742143,0.0008737389,81.0
-0.022819202,0.02329407,0.00043258027,16.0
-0.024002174,-0.07042533,-0.004733203,51.0
-0.013287206,-0.1119283,0.008217854,52.0
-0.09008238,-0.040901102,-0.013288393,10.0
-0.13445534,-0.117251545,0.0054505323,18.0
0.0041258004,0.021364728,0.00041400178,12.0
0.051673386,-0.061039068,-0.0053960425,43.0
-6.293352e-05,0.024038779,-0.0010663654,12.0
-0.022304399,-0.07453344,-0.003002361,71.0
0.0017998212,0.01790539,-0.002161776,31.0
0.01917158,-0.103946745,0.008318785,35.0
-0.11680812,0.006326102,-0.011284474,48.0
0.07518047,0.028123785,0.016695881,24.0
-0.009550566,-0.105350465,0.008120952,27.0
-0.008143277,0.023423791,0.0023572808,37.0
-0.032569792,0.023550617,-0.00364364,18.0
0.08930916,-0.071806416,-0.0006800218,47.0
-0.089718275,-0.07159553,-0.0077446955,26.0
0.015053676,-0.0945113,0.0043960316,30.0
0.10375621,0.018145682,-0.0038623211,36.0
